,Site,mois,Année,Date,E.coli ,E.coli_qualite,°C,ppt,%,pH
2971,B3,3,2003,3/3/2003,0,Bonne,13.06,36.32,94.4,8
2973,B4,3,2003,3/3/2003,0,Bonne,13.04,36.53,93.2,8
2974,B5,3,2003,3/3/2003,0,Bonne,12.97,36.27,103.5,7.99
2975,B6,3,2003,3/3/2003,0,Bonne,12.97,36.3,94,8
2984,B1,3,2003,3/24/2003,0,Bonne,13.7,38.22,98.8,8.11
2985,B2,3,2003,3/24/2003,0,Bonne,13.7,38.25,96.8,8.07
2986,B3,3,2003,3/24/2003,0,Bonne,13.83,38.06,96.8,8.1
2988,B4,3,2003,3/24/2003,0,Bonne,13.71,38.17,106,8.08
2989,B5,3,2003,3/24/2003,0,Bonne,13.71,38.29,95.8,8.08
2990,B6,3,2003,3/24/2003,0,Bonne,13.95,37.86,101,8.08
2999,B1,4,2003,4/28/2003,0,Bonne,16.13,37.42,100,8.05
3000,B2,4,2003,4/28/2003,0,Bonne,16.34,37.38,92.5,8.03
3001,B3,4,2003,4/28/2003,0,Bonne,16.21,37.32,102,8.06
3003,B4,4,2003,4/28/2003,0,Bonne,16.14,37.46,99.2,8.07
3004,B5,4,2003,4/28/2003,0,Bonne,16.37,37.39,100.4,8.07
3005,B6,4,2003,4/28/2003,0,Bonne,16.29,37.54,94.2,8.06
3015,B1,5,2003,5/5/2003,10,Bonne,17.03,37.84,99.1,8.04
3016,B2,5,2003,5/5/2003,0,Bonne,17.23,37.81,84.1,8.03
3017,B3,5,2003,5/5/2003,122,Moyenne,17.17,37.78,97.3,8.06
3019,B4,5,2003,5/5/2003,0,Bonne,17.08,37.82,97.7,8.05
3020,B5,5,2003,5/5/2003,0,Bonne,17.07,37.83,92.4,8.05
3021,B6,5,2003,5/5/2003,10,Bonne,17.15,37.82,88,8.06
3031,B1,5,2003,5/12/2003,10,Bonne,18.87,37.58,89.3,8.13
3032,B2,5,2003,5/12/2003,0,Bonne,19.26,37.63,87.4,8.1
3033,B3,5,2003,5/12/2003,0,Bonne,19.32,37.68,87.4,8.13
3035,B4,5,2003,5/12/2003,0,Bonne,18.95,37.6,111.3,8.18
3036,B5,5,2003,5/12/2003,0,Bonne,19.21,37.63,92.1,8.12
3037,B6,5,2003,5/12/2003,0,Bonne,19.12,37.71,79.9,8.16
3047,B1,5,2003,5/19/2003,0,Bonne,19.14,37.82,106.5,8.07
3048,B2,5,2003,5/19/2003,0,Bonne,19.24,37.52,104.2,8.04
3049,B3,5,2003,5/19/2003,0,Bonne,19.27,37.69,102.5,8.08
3051,B4,5,2003,5/19/2003,0,Bonne,19.31,37.74,97.9,8.06
3052,B5,5,2003,5/19/2003,0,Bonne,19.19,37.74,103.1,8.06
3053,B6,5,2003,5/19/2003,0,Bonne,19.36,37.48,80.2,8.05
3063,B1,5,2003,5/26/2003,0,Bonne,,,,
3064,B2,5,2003,5/26/2003,0,Bonne,,,,
3065,B3,5,2003,5/26/2003,10,Bonne,,,,
3067,B4,5,2003,5/26/2003,0,Bonne,,,,
3068,B5,5,2003,5/26/2003,21,Bonne,,,,
3069,B6,5,2003,5/26/2003,0,Bonne,,,,
3073,B1,6,2003,6/2/2003,0,Bonne,19.97,37.47,92.9,8.19
3074,B2,6,2003,6/2/2003,0,Bonne,20.31,37.66,88.7,8.18
3075,B3,6,2003,6/2/2003,10,Bonne,20.23,35.91,91.3,8.19
3077,B4,6,2003,6/2/2003,0,Bonne,19.91,37.66,94.3,8.21
3078,B5,6,2003,6/2/2003,0,Bonne,20.47,37.67,91.4,8.2
3079,B6,6,2003,6/2/2003,0,Bonne,19.93,37.69,81.4,8.2
3089,B1,6,2003,6/10/2003,0,Bonne,23.92,37.12,93.3,8.07
3090,B2,6,2003,6/10/2003,0,Bonne,24.29,37.01,81.7,8.09
3091,B3,6,2003,6/10/2003,0,Bonne,24.31,37.03,96.7,8.07
3093,B4,6,2003,6/10/2003,0,Bonne,24.33,37.44,98.7,8.21
3094,B5,6,2003,6/10/2003,0,Bonne,24.22,37.47,93.2,8.08
3095,B6,6,2003,6/10/2003,0,Bonne,24.13,37.49,90.4,8.1
3105,B1,6,2003,6/16/2003,0,Bonne,25.1,37.57,97.7,8.1
3106,B2,6,2003,6/16/2003,43,Bonne,25.26,37.67,52.8,7.91
3107,B3,6,2003,6/16/2003,0,Bonne,25.03,37.65,88.5,8.07
3109,B4,6,2003,6/16/2003,0,Bonne,25.28,37.69,100.8,8.12
3110,B5,6,2003,6/16/2003,0,Bonne,25.16,37.52,85.2,8.07
3111,B6,6,2003,6/16/2003,10,Bonne,25.05,37.58,115.2,8.06
3121,B1,6,2003,6/23/2003,10,Bonne,26.49,37.98,74.8,8.03
3122,B2,6,2003,6/23/2003,53,Bonne,26.86,38.08,58.6,7.94
